PatentNo,Jurisdiction,PublicationDate,PublicationYear,ApplicationDate,Applicants,Inventors,Owners_updated,Owners,DocumentType,CPCClassifications,IPCRClassifications,USClassifications
US10558229B2,US,11/02/2020,2020,26/06/2017,EMERSON CLIMATE TECHNOLOGIES,KATES LAWRENCE,,,Granted Patent,F24F8/10;;F24F8/10;;F24F11/30;;F24F11/30;;F24F11/39;;F24F11/39;;F24F11/47;;F24F11/47;;F24F11/56;;F24F11/56;;F25B49/00;;F25B49/005;;F25B49/005;;F25B2500/19;;F25B2500/19;;F25B2600/07;;F25B2600/07;;F25B2700/02;;F25B2700/02;;F25B2700/133;;F25B2700/133;;F25B2700/1351;;F25B2700/1351;;F25B2700/15;;F25B2700/15;;F25B2700/151;;F25B2700/151;;F25B2700/172;;F25B2700/172;;F25B2700/1931;;F25B2700/1931;;F25B2700/1933;;F25B2700/1933;;F25B2700/195;;F25B2700/195;;F25B2700/2106;;F25B2700/2106;;F25B2700/21151;;F25B2700/21151;;F25B2700/21152;;F25B2700/21152;;F25B2700/21161;;F25B2700/21161;;F25B2700/21163;;F25B2700/21163;;F25B2700/21172;;F25B2700/21172;;F25B2700/21173;;F25B2700/21173;;F25B2700/21174;;F25B2700/21174;;F25B2700/21175;;F25B2700/21175;;F25D2400/36;;F25D2400/36;;G05D23/1932;;G01K13/00;;G01K13/00;;G01K2201/00;;G01K2201/00;;G01N15/0826;;G01N15/0826;;G01N2015/084;;G01N2015/084;;G01N2015/0846;;G01N2015/0846;;G05B15/02;;G05D23/1917;;G05D23/1928;;Y10S55/34;;Y10S55/34;;Y10S116/25;;Y10S116/25;;Y10S116/42;;Y10S116/42,B01D46/42;;F24F3/16;;F24F11/30;;F24F11/39;;F24F11/47;;F24F11/56;;F24F13/00;;F25B49/00;;G01K13/00;;G01N15/08;;G05B15/00;;G05B15/02;;G05D23/19;;G06F11/30,
US2018-0266721A1,US,20/09/2018,2018,14/03/2018,YORK GUANGZHOU AIR CONDITIONING AND REFRIGERATION CO LTD;;JOHNSON CONTROLS TECH CO,YU DEMAO;;WU SHUANG,,YORK GUANGZHOU AIR CONDITIONING AND REFRIGERATION CO. LTD (2020-01-20);;JOHNSON CONTROLS TYCO IP HOLDINGS LLP (2021-08-06);;JOHNSON CONTROLS TECHNOLOGY COMPANY (2020-01-20),Patent Application,F25B49/022;;F25B2600/0251;;F25B2600/021;;F24F2110/10;;F24F2140/20;;F24F2140/50;;F24F11/54;;F24F11/46;;F24F11/86;;F24F11/65;;F24F11/65;;F24F11/80;;G05B15/02;;F24F11/54;;F24F2140/50;;F24F11/46;;F24F2110/10;;F24F11/86;;F24F2140/20,F24F11/65;;F24F11/80;;G05B15/02,
US9762168B2,US,12/09/2017,2017,11/04/2016,EMERSON CLIMATE TECHNOLOGIES,PHAM HUNG M;;ALSALEEM FADI M,,,Granted Patent,F04B35/04;;F04B35/04;;F04B49/06;;F04B49/06;;F04B49/10;;F04B49/10;;F04B2203/0201;;F04B2203/0201;;F04B2203/0202;;F04B2203/0202;;F04C18/02;;F04C18/02;;F04C18/0215;;F04C28/28;;F04C28/28;;F04C29/0085;;F04C29/0085;;F04C2240/808;;F04C2240/808;;F04C2240/81;;F04C2240/81;;F04C2270/03;;F04C2270/03;;F04C2270/07;;F04C2270/07;;F04C2270/19;;F04C2270/19;;F04C2270/22;;F04C2270/22;;F04C2270/60;;F04C2270/60;;F04C2270/80;;F04C2270/80;;F04C2270/86;;F04C2270/86;;F04C2270/90;;F04C2270/90;;F25B49/022;;G01R31/343;;G01R31/343;;G01R31/64;;G01R31/64;;H02P25/04,G01R31/34;;F04B35/04;;F04B49/06;;F04B49/10;;F04C18/02;;F04C28/28;;F04C29/00;;F25B49/02;;G01R31/02;;H02P25/04,
US10488090B2,US,26/11/2019,2019,13/03/2014,EMERSON CLIMATE TECHNOLOGIES,PHAM HUNG M,,EMERSON CLIMATE TECHNOLOGIES INC (2014-02-27),Granted Patent,F25B45/00;;F25B45/00;;F25B40/02;;F25B49/005;;F25B2345/003;;F25B2500/23;;F25B2500/24;;F25B2600/19;;F25B2700/04;;F25B2700/04;;F25B2700/2106;;F25B2700/21162;;F25B2700/21162;;F25B2700/21163;;F25B2700/21163,F25B49/02;;F25B39/04;;F25B40/02;;F25B40/04;;F25B40/06;;F25B45/00;;F25B49/00,
US9765979B2,US,19/09/2017,2017,04/04/2014,EMERSON ELECTRIC CO;;EMERSON CLIMATE TECHNOLOGIES,ALSALEEM FADI M;;HEMMELGARN GREGG M,,EMERSON ELECTRIC CO (2014-04-02);;EMERSON CLIMATE TECHNOLOGIES INC (2016-08-25),Granted Patent,F25B13/00;;F25B49/005;;F25B2500/24;;F25B2700/2106;;F25B2700/21161;;F25B2700/21163;;F24D19/1087;;F24D2220/042;;F25B2700/21172;;F25B2700/21173;;F25B2500/22;;F25B2500/23;;F25B13/00;;F25B49/005;;F25B2500/24;;F25B2700/2106;;F25B2700/21161;;F25B2700/21163;;F24D19/1087;;F24D2220/042;;F25B49/00;;H05K999/99,B60H1/00;;F24D19/10;;F25B13/00;;F25B49/00;;G01K13/00;;G05D23/00,
US2011-0144947A1,US,16/06/2011,2011,19/10/2009,FUJI ELECTRIC SYSTEMS CO LTD;;GEOTHERMAL ENGINEERING CO LTD,MYOUGAN ICHIRO;;KATO TOSHIKAZU;;OSAWA ISAMU;;HISHI YASUYUKI;;FUKUDA DAISUKE;;FUTAGOISHI YASUTO;;AOKI TOSHIAKI,,GEOTHERMAL ENGINEERING CO. LTD (2011-01-14);;FUJI ELECTRIC CO. LTD (2011-04-01);;FUJI ELECTRIC SYSTEMS CO. LTD (2011-02-04),Patent Application,F03G7/04;;Y02E10/10;;F03G7/04;;Y02E10/10,G06F15/00,702/183
US10335906B2,US,02/07/2019,2019,05/06/2017,EMERSON CLIMATE TECHNOLOGIES,PHAM HUNG M,,,Granted Patent,B23P15/26;;F04C28/00;;F04C28/00;;F04C2270/18;;F04C2270/18;;F04C2270/19;;F04C2270/19;;F04C2270/80;;F04C2270/80;;F25B1/04;;F25B1/04;;F25B49/005;;F25B49/005;;F25B2500/06;;F25B2500/06;;F25B2500/19;;F25B2500/19;;F25B2700/151;;F25B2700/151;;F25B2700/1931;;F25B2700/1931;;F25B2700/1933;;F25B2700/1933;;F25B2700/2106;;F25B2700/2106;;F25B2700/21151;;F25B2700/21151;;F25B2700/21152;;F25B2700/21152;;F25B2700/2116;;F25B2700/2116;;F25D2400/36;;F25D2400/36;;Y10T29/49353;;Y10T29/49353,F25B1/04;;B23P15/26;;F04C28/00;;F25B1/00;;F25B7/00;;F25B41/00;;F25B49/00;;F25D9/00,
US2006-0198208A1,US,07/09/2006,2006,07/03/2005,LANTRONIX INC,WITCHEY NICHOLAS J;;BROWN CURTIS D,,LANTRONIX INC (2005-03-04),Patent Application,H04L12/1895;;H04L12/1895;;H04L51/04;;H04L51/04;;H04L67/12;;H04L67/12;;H04L67/2823;;H04L67/2823;;H04L69/18;;H04L69/18,G11C7/10,365/189.05
US10578331B2,US,03/03/2020,2020,14/03/2018,YORK GUANGZHOU AIR CONDITIONING AND REFRIGERATION CO LTD;;JOHNSON CONTROLS TECH CO,YU DEMAO;;WU SHUANG,,YORK GUANGZHOU AIR CONDITIONING AND REFRIGERATION CO. LTD (2020-01-20);;JOHNSON CONTROLS TYCO IP HOLDINGS LLP (2021-08-06);;JOHNSON CONTROLS TECHNOLOGY COMPANY (2020-01-20),Granted Patent,F25B49/022;;F25B2600/0251;;F25B2600/021;;F24F2110/10;;F24F2140/20;;F24F2140/50;;F24F11/54;;F24F11/46;;F24F11/86;;F24F11/65;;F24F11/65;;F24F11/80;;G05B15/02;;F24F11/54;;F24F2140/50;;F24F11/46;;F24F2110/10;;F24F11/86;;F24F2140/20,F24F11/65;;F24F11/46;;F24F11/54;;F24F11/80;;F24F11/86;;F24F110/10;;F24F140/20;;F24F140/50;;G05B15/02,
US10330744B2,US,25/06/2019,2019,24/03/2017,LOCKHEED CORP,LUZOD NICHOLAS M,,LOCKHEED MARTIN CORPORATION (2017-12-06),Granted Patent,G01R33/032;;G01R33/032;;G01R33/26;;G01R33/26;;G02B6/0045;;G02B6/0045;;G02B6/0096;;G02B6/0096;;G02B6/10;;G02B6/10,F21V8/00;;G01R33/032;;G01R33/26;;G02B6/10,
US2013-0335089A1,US,19/12/2013,2013,15/06/2012,MES MARIUS J,MES MARIUS J,,,Patent Application,G01V3/12;;G01V11/007;;H01Q1/28;;H01Q9/16;;H01Q21/205;;H01Q21/26,G01V3/12,324/332
US9513345B2,US,06/12/2016,2016,21/01/2016,Lockheed Martin Corporation,Peter G. Kaup;;Arul Manickam,,,Granted Patent,G01R33/032,G01R33/02;;G01R33/032,
US9853837B2,US,26/12/2017,2017,01/04/2015,LOCKHEED CORP,KRAUSE JAMES MICHAEL;;MANICKAM ARUL,,LOCKHEED MARTIN CORPORATION (2015-03-24),Granted Patent,H04B5/0031;;H04L25/0266;;H04B5/00;;H04B5/0075;;H04B5/0075;;H04B5/02;;H04L25/05,H04L27/00;;H04B5/00;;H04L25/02;;H04L25/05,
US9823314B2,US,21/11/2017,2017,25/07/2016,LOCKHEED CORP,HAHN JOSEPH W;;BRUCE GREGORY S;;LEW WILBUR,,,Granted Patent,G01R33/032;;G01R33/0017;;G01R33/0017;;G01R33/032;;G01R33/1284;;G01R33/032;;G01R33/0017,G01R33/02;;G01R33/00;;G01R33/032,
US10120039B2,US,06/11/2018,2018,21/01/2016,LOCKHEED CORP,STETSON JR JOHN B;;CAMMERATA JEFF D,,,Granted Patent,G01R33/032;;G01R33/032;;G01R33/032;;G01R33/0017;;G01R33/0017;;G01R33/0017;;G01R33/02,G01V3/00;;G01R33/00;;G01R33/032,
US10527746B2,US,07/01/2020,2020,27/02/2017,LOCKHEED CORP,HANSEN JAY;;STETSON JR JOHN B;;DIMARIO MICHAEL,,LOCKHEED MARTIN CORPORATION (2019-09-19),Granted Patent,G01V3/081;;G01V3/081;;G01D5/14;;G01R33/00;;G01R33/00;;G01R33/02;;G01R33/02;;G01R33/022;;G01R33/022;;G01R33/032;;G01V3/16;;G01V3/16,G01V3/08;;G01D5/14;;G01R33/00;;G01R33/02;;G01R33/022;;G01R33/032;;G01V3/16,
US10466312B2,US,05/11/2019,2019,30/01/2017,LOCKHEED CORP,EGAN LAIRD NICHOLAS;;COAR DAVID NELSON;;RUSSO JON C,,,Granted Patent,G01N21/63;;G01R33/032;;G01R33/032;;G01N21/27;;G01N21/63;;G01N22/00;;G01N22/005;;G01N2021/0162;;G01R33/032,G01R33/032;;G01N21/63;;G01N22/00,
US9541610B2,US,10/01/2017,2017,21/01/2016,LOCKHEED CORP,KAUP PETER G;;MANICKAM ARUL,,LOCKHEED MARTIN CORPORATION (2016-07-05),Granted Patent,G01R33/032;;G01R33/032;;G01R33/032,G01R33/02;;G01R33/032,
US10677953B2,US,09/06/2020,2020,31/05/2017,LOCKHEED CORP,STETSON JOHN B;;MANICKAM ARUL;;KAUP PETER G;;BRUCE GREGORY SCOTT;;LEW WILBUR;;HAHN JOSEPH W;;LUZOD NICHOLAS MAURIELLO;;JACKSON KENNETH MICHAEL;;SWETT JACOB LOUIS;;BEDWORTH PETER V;;SINTON STEVEN W;;HUYNH DUC;;DIMARIO MICHAEL JOHN;;HANSEN JAY T;;MANDEVILLE ANDREW RAYMOND;;FISK BRYAN NEAL;;VILLANI JOSEPH A;;RUSSO JON C;;COAR DAVID NELSON;;MILLER JULIE LYNNE;;KOTTAPALLI ANJANEY PRAMOD;;MONTGOMERY GARY EDWARD;;SHAW MARGARET MILLER;;SEKELSKY STEPHEN;;KRAUSE JAMES MICHAEL;;MEYER THOMAS J,,LOCKHEED MARTIN CORPORATION (2018-04-03),Granted Patent,G01V3/14;;G01R33/032;;G01R33/032;;G01R33/26;;G01R33/26;;G01V3/101;;G01V3/101,G01V3/14;;G01R33/032;;G01R33/26;;G01V3/10,
US10241158B2,US,26/03/2019,2019,21/01/2016,LOCKHEED CORP,MANICKAM ARUL;;KAUP PETER G;;STETSON JR JOHN B,,LOCKHEED MARTIN CORPORATION (2015-04-21),Granted Patent,G01R33/032;;G01R33/032;;G01R33/032;;G01R33/02;;G01R35/00,G01R33/032,
US10338164B2,US,02/07/2019,2019,24/03/2017,LOCKHEED CORP,HAHN JOSEPH W;;MANDEVILLE ANDREW RAYMOND;;BRUCE GREGORY SCOTT,,LOCKHEED MARTIN CORPORATION (2017-11-27),Granted Patent,G01R33/26;;G01R33/26;;G01R33/032;;G01R33/032,G01V3/00;;G01R33/032;;G01R33/26,
US9638821B2,US,02/05/2017,2017,16/03/2015,LOCKHEED CORP,MEYER THOMAS J,,LOCKHEED MARTIN CORPORATION (2015-03-16),Granted Patent,E21B43/26;;E21B47/00;;G01V3/26;;G01R33/032;;G01V3/081;;G01V3/081;;G01V3/081;;G01V3/26;;G01V3/38,G01R33/07;;G01V3/08;;G01V3/38,
US9824597B2,US,21/11/2017,2017,21/01/2016,LOCKHEED CORP,SEKELSKY STEPHEN M,,LOCKHEED MARTIN CORPORATION (2017-10-04),Granted Patent,B64C39/024;;B64C39/024;;B60L53/32;;B60L53/32;;B60L2200/10;;B60L2200/10;;B60L2240/622;;B60L2240/622;;B64C2201/021;;B64C2201/066;;B64C2201/12;;B64C2201/12;;B64C2201/141;;B64C2201/146;;G01C21/20;;G01C21/20;;G01R1/06705;;G01R1/06705;;G01R31/085;;G01R31/085;;G01R31/58;;G01R31/58;;G01R33/032;;G05D1/0202;;G05D1/0265;;G05D1/0265;;G05D1/042;;G05D1/106;;G05D1/106;;G08G5/0069;;H02G1/02;;H02G1/02;;H02J7/025;;Y02T10/70;;Y02T10/70;;Y02T10/7072;;Y02T10/7072;;Y02T10/72;;Y02T10/72;;Y02T90/12;;Y02T90/12;;Y02T90/14;;Y02T90/16;;Y02T90/16,G08G5/00;;B64C39/02;;G01R33/032;;G05D1/02;;G05D1/04,
US10345395B2,US,09/07/2019,2019,12/12/2016,LOCKHEED CORP,SINTON STEVEN W,,LOCKHEED MARTIN CORPORATION (2016-12-20),Granted Patent,G01R33/032;;G01R33/032,G01R33/032,
US9590601B2,US,07/03/2017,2017,07/04/2015,LOCKHEED CORP,KRAUSE JAMES MICHAEL;;MABRY JAMES P;;PEPA ELTON,,LOCKHEED MARTIN CORPORATION (2015-04-03),Granted Patent,H03K4/06;;H03K4/06;;H03K4/06;;H02J5/005;;H02J7/025;;H02J50/10;;H03K4/063;;H04B5/0037;;H04B5/0037;;H04B5/0075;;H04B5/0075;;H04L27/04;;Y02T90/12,H01H47/00;;H02J5/00;;H02J7/02;;H03K4/06;;H04B5/00,
US10520558B2,US,31/12/2019,2019,21/01/2016,LOCKHEED CORP,HAHN JOSEPH W;;HUYNH DUC;;LEW WILBUR,,LOCKHEED MARTIN CORPORATION (2016-04-14),Granted Patent,G01R33/032;;G01R33/032,G01R33/032,
US10725124B2,US,28/07/2020,2020,05/03/2018,LOCKHEED CORP,BOESCH BRIAN P;;BRUCE GREGORY SCOTT;;CAMMERATA JEFF D;;COAR DAVID NELSON;;EGAN LAIRD NICHOLAS;;FISK BRYAN NEAL;;LEW WILBUR;;MANICKAM ARUL;;SEKELSKY STEPHEN MICHAEL;;STETSON JR JOHN B;;KAUP PETER G;;MILLER JULIE LYNNE;;RUSSO JON C;;STOCKMAN EMANUEL SOLOMON;;MEYER THOMAS J;;KRAUSE JAMES MICHAEL;;MABRY JAMES P;;PEPA ELTON,,,Granted Patent,B64C2201/141;;G01R33/032;;G01R33/032;;G01C21/00;;G05D1/0088;;G05D1/101,G01R33/032;;G01C21/00;;G05D1/00;;G05D1/10,
US10338163B2,US,02/07/2019,2019,11/07/2016,LOCKHEED CORP,KAUP PETER G;;MANICKAM ARUL;;BRUCE GREGORY SCOTT,,LOCKHEED MARTIN CORPORATION (2016-07-13),Granted Patent,G01R33/26;;G01R33/26;;G01N24/12;;G01N24/12;;G01R33/323;;G01R33/323,G01R33/26;;G01N24/12;;G01R33/32,
US9817081B2,US,14/11/2017,2017,21/01/2016,LOCKHEED CORP,HAHN JOSEPH W;;BRUCE GREGORY S;;HUYNH DUC;;LEW WILBUR,,LOCKHEED MARTIN CORPORATION (2016-04-14),Granted Patent,G01R33/0094;;G01R33/032;;G01R33/032;;G01J1/0425;;G01R33/0094;;G01R33/0094;;G01R33/032,G01R33/032;;G01J1/04;;G01R33/00,
US10379174B2,US,13/08/2019,2019,24/03/2017,LOCKHEED CORP,HAHN JOSEPH W;;MANDEVILLE ANDREW RAYMOND;;BRUCE GREGORY SCOTT;;MANICKAM ARUL;;KAUP PETER G,,LOCKHEED MARTIN CORPORATION (2018-02-27),Granted Patent,G01R33/032;;G01R33/032;;G01R33/0047;;G01R33/0047,G01R33/032;;G01R33/00,
US9835694B2,US,05/12/2017,2017,07/07/2016,LOCKHEED CORP,COAR DAVID N;;CAMMERATA JEFF D,,LOCKHEED MARTIN CORPORATION (2016-05-05),Granted Patent,G01R33/032;;G01R33/032;;G01H1/00;;G01H9/00,G01R33/02;;G01H1/00;;G01H9/00;;G01R33/032,
US10161979B2,US,25/12/2018,2018,18/03/2015,US NAVY;;US NAVY,WALLACE WILLIAM W,,UNITED STATES OF AMERICA AS REPRESENTED BY THE SECRETARY OF THE NAVY (2015-04-17),Granted Patent,G01R29/24;;G01R29/24;;G01N27/60;;G01R31/008;;G01R31/008,G01R29/24;;G01N27/60;;G01R31/00,
US10408889B2,US,10/09/2019,2019,06/01/2017,LOCKHEED CORP,KAUP PETER G;;MANICKAM ARUL,,,Granted Patent,G01R33/032;;G01R33/032;;G01R33/032,G01R33/032,
US10168393B2,US,01/01/2019,2019,25/09/2015,LOCKHEED CORP,STETSON JR JOHN B;;HILTABIDLE MICHAEL J;;KAUP PETER G;;MANICKAM ARUL;;SIMON SARAH,,LOCKHEED MARTIN CORPORATION (2014-10-15),Granted Patent,G01R33/032;;G01R33/032;;G01R33/0052;;G01R33/0052;;G01R33/323;;G01R33/323;;G01R33/64;;G01R33/64;;G01R35/005,G01R33/032;;G01R33/00;;G01R33/32;;G01R33/64;;G01R35/00,
US10274550B2,US,30/04/2019,2019,24/03/2017,LOCKHEED CORP,BRUCE GREGORY SCOTT;;KAUP PETER G;;MANICKAM ARUL,,LOCKHEED MARTIN CORPORATION (2017-10-23),Granted Patent,G01R33/26;;G01R33/26;;G01N24/10;;G01N24/10;;G01R33/032;;G01R33/032;;G01R33/60,G01V3/00;;G01R33/032;;G01R33/26;;G01R33/60,
US9829545B2,US,28/11/2017,2017,21/01/2016,LOCKHEED CORP,STETSON JR JOHN B;;CAMMERATA JEFF D,,LOCKHEED MARTIN CORPORATION (2016-11-14),Granted Patent,G01R33/032;;G01R33/032,G01R33/032,
US9910104B2,US,06/03/2018,2018,21/01/2016,LOCKHEED CORP,BOESCH BRIAN P;;BRUCE GREGORY SCOTT;;CAMMERATA JEFF D;;COAR DAVID NELSON;;EGAN LAIRD NICHOLAS;;FISK BRYAN NEAL;;LEW WILBUR;;MANICKAM ARUL;;SEKELSKY STEPHEN MICHAEL;;STETSON JR JOHN B;;KAUP PETER G;;MILLER JULIE LYNNE;;RUSSO JON C;;STOCKMAN EMANUEL SOLOMON,,LOCKHEED MARTIN CORPORATION (2017-11-07),Granted Patent,G01R33/032;;G01R33/032;;G05D1/0088,G01R33/02;;G01R33/032;;G05D1/00;;G05D1/10,
US10571530B2,US,25/02/2020,2020,01/03/2017,LOCKHEED CORP,HANSEN JAY;;STETSON JOHN B;;DIMARIO MICHAEL,,LOCKHEED MARTIN CORPORATION (2019-07-10),Granted Patent,G01R33/032;;G01R33/032,G01V3/00;;G01R33/032,
US10371765B2,US,06/08/2019,2019,20/02/2017,LOCKHEED CORP,KAUP PETER G;;MANICKAM ARUL;;STETSON JOHN B,,LOCKHEED MARTIN CORPORATION (2017-10-23),Granted Patent,G01R33/26;;G01R33/26;;G01C21/20;;G01N24/12;;G01N24/12;;G01R33/323;;G01R33/323,G01R33/26;;G01C21/20;;G01N24/12;;G01R33/32,
US9551763B1,US,24/01/2017,2017,21/01/2016,LOCKHEED CORP,HAHN JOSEPH W;;BRUCE GREGORY S;;HUYNH DUC;;LEW WILBUR,,LOCKHEED MARTIN CORPORATION (2016-04-14),Granted Patent,G01R33/032;;G01R33/0017;;G01R33/0017;;G01R33/032;;G01R33/1284;;G01R33/032;;G01R33/0017,G01R33/02;;G01R33/00;;G01R33/032,
US10012704B2,US,03/07/2018,2018,21/01/2016,LOCKHEED CORP,COAR DAVID NELSON,,,Granted Patent,G01R33/0017;;G01R33/0017;;G01R33/02;;G01R33/02,G01N33/00;;G01R33/00;;G01R33/02,
US9823381B2,US,21/11/2017,2017,31/03/2017,LOCKHEED CORP,MEYER THOMAS J,,,Granted Patent,E21B43/26;;E21B47/00;;G01V3/26;;G01R33/032;;G01V3/081;;G01V3/081;;G01V3/081;;G01V3/26;;G01V3/38,E21B49/00;;G01R33/032;;G01V3/26,
US10126377B2,US,13/11/2018,2018,09/08/2017,LOCKHEED CORP,HAHN JOSEPH W;;MANICKAM ARUL;;KAUP PETER G;;BRUCE GREGORY SCOTT;;LEW WILBUR;;LUZOD NICHOLAS M;;HUYNH DUC,,LOCKHEED MARTIN CORPORATION (2017-10-23),Granted Patent,G01N21/6489;;G01N2021/1727;;G01N2021/646;;G01R33/032;;G01R33/0047;;G01R33/0023;;G01N21/87;;G01R33/1284;;G01R33/26;;G01R33/032;;G01R33/0047;;G01R33/0023;;G01N2021/646;;G01N21/6489;;G01N2021/1727;;G01N21/64;;G01N21/87;;G01N2201/06113;;G01R33/1284;;G01R33/26,G01R33/032;;G01N21/64;;G01N21/87;;G01R33/12;;G01R33/26,
US10281550B2,US,07/05/2019,2019,14/11/2016,LOCKHEED CORP,SINTON STEVEN W;;BEDWORTH PETER V;;SWETT JACOB LOUIS,,LOCKHEED MARTIN CORPORATION (2016-11-29),Granted Patent,C12Q1/6869;;C12Q1/6869;;G01R33/60;;G01N24/10;;G01N24/10;;G01R33/1269;;G01R33/1269,G01R33/60;;C12Q1/6869;;G01N24/10;;G01R33/12,
US10333588B2,US,25/06/2019,2019,04/04/2017,LOCKHEED CORP,RUSSO JON C;;BRUCE GREGORY S;;COAR DAVID N;;LEW WILBUR;;MILLER JULIE L,,,Granted Patent,G01R33/032;;H04B5/0031;;H04B5/0075;;H04B5/0081;;G01R33/032;;H04B5/0031;;H04B5/0075;;H04B5/0081,H04B5/00,
US10145910B2,US,04/12/2018,2018,24/03/2017,LOCKHEED CORP,JACKSON KENNETH MICHAEL;;BRUCE GREGORY SCOTT;;LEW WILBUR,,LOCKHEED MARTIN CORPORATION (2017-11-27),Granted Patent,G01R33/26;;G01R33/26;;G01R33/032;;G01R33/032,G01V3/14;;G01R33/032;;G01R33/26,
US9910105B2,US,06/03/2018,2018,10/06/2016,LOCKHEED CORP,BOESCH BRIAN P;;BRUCE GREGORY SCOTT;;CAMMERATA JEFF D;;COAR DAVID NELSON;;EGAN LAIRD NICHOLAS;;FISK BRYAN NEAL;;LEW WILBUR;;MANICKAM ARUL;;SEKELSKY STEPHEN MICHAEL;;STETSON JR JOHN B;;KAUP PETER G;;MILLER JULIE LYNNE;;RUSSO JON C;;STOCKMAN EMANUEL SOLOMON;;MEYER THOMAS J;;KRAUSE JAMES MICHAEL;;MABRY JAMES P;;PEPA ELTON,,LOCKHEED MARTIN CORPORATION (2017-11-02),Granted Patent,B64C2201/141;;G01R33/032;;G01R33/032;;G01C21/00;;G05D1/0088;;G05D1/101,G01R33/02;;G01C21/00;;G01R33/032;;G05D1/00;;G05D1/10,
US10408890B2,US,10/09/2019,2019,24/03/2017,LOCKHEED CORP,BRUCE GREGORY SCOTT;;KAUP PETER G;;MANICKAM ARUL,,LOCKHEED MARTIN CORPORATION (2017-10-23),Granted Patent,G01R33/032;;G01R33/032,G01R33/032,
US9557391B2,US,31/01/2017,2017,21/01/2016,LOCKHEED CORP,EGAN LAIRD NICHOLAS;;COAR DAVID NELSON;;RUSSO JON C,,,Granted Patent,G01N21/63;;G01R33/032;;G01R33/032;;G01N21/27;;G01N21/63;;G01N22/00;;G01N22/005;;G01N2021/0162;;G01R33/032,G01R33/02;;G01N21/63;;G01N22/00;;G01R33/032,
US10228429B2,US,12/03/2019,2019,24/03/2017,LOCKHEED CORP,BRUCE GREGORY SCOTT;;MANICKAM ARUL;;KAUP PETER G,,LOCKHEED MARTIN CORPORATION (2017-10-23),Granted Patent,G01R33/26;;G01R33/26;;G01R33/032;;G01R33/032,G01R33/26;;G01R33/032,
US9823313B2,US,21/11/2017,2017,21/01/2016,LOCKHEED CORP,HAHN JOSEPH W;;HUYNH DUC;;LEW WILBUR,,LOCKHEED MARTIN CORPORATION (2016-04-14),Granted Patent,G01R33/032;;G01R33/032;;G01R33/0052;;G01R33/0052;;G01R33/60;;G01R33/60,G01R33/032;;G01R33/00,
US10338162B2,US,02/07/2019,2019,21/01/2016,LOCKHEED CORP,REYNOLDS COLLEEN MARY;;COAR DAVID NELSON;;DECRISTOFORO MARY CATHERINE CHIH-LI;;EGAN LAIRD NICHOLAS;;RUSSO JON C,,LOCKHEED MARTIN CORPORATION (2016-05-09),Granted Patent,G01R33/26;;G01R33/26,G01R33/26,
US10006973B2,US,26/06/2018,2018,21/01/2016,LOCKHEED CORP,HAHN JOSEPH W;;BRUCE GREGORY S;;LEW WILBUR,,LOCKHEED MARTIN CORPORATION (2016-04-14),Granted Patent,G01R33/032;;G01R33/032;;G01R33/032;;G01J1/08;;G01R33/0017;;G01R33/0017,G01R33/06;;G01J1/08;;G01R33/032,
US9720055B1,US,01/08/2017,2017,15/11/2016,LOCKHEED CORP,HAHN JOSEPH W;;BRUCE GREGORY S;;HUYNH DUC;;LEW WILBUR,,,Granted Patent,G01R33/0094;;G01R33/032;;G01R33/032;;G01J1/0425;;G01R33/0094;;G01R33/0094;;G01R33/032,G01R33/02;;G01R33/00;;G01R33/032,
US9845153B2,US,19/12/2017,2017,21/01/2016,LOCKHEED CORP,SEKELSKY STEPHEN M,,LOCKHEED MARTIN CORPORATION (2016-09-22),Granted Patent,B64C39/024;;B64C39/024;;B60L53/126;;B60L53/126;;B60L53/32;;B60L53/32;;B60L2200/10;;B60L2200/10;;B60L2240/622;;B60L2240/622;;B64C2201/021;;B64C2201/021;;B64C2201/042;;B64C2201/042;;B64C2201/066;;B64C2201/066;;B64C2201/141;;B64C2201/141;;B64C2201/146;;G01C21/20;;G01C21/20;;G01R1/06705;;G01R1/06705;;G01R31/085;;G01R31/085;;G01R31/58;;G01R31/58;;G01R33/032;;G05D1/0265;;G05D1/0265;;H02G1/02;;H02G1/02;;H02J7/025;;Y02T10/70;;Y02T10/70;;Y02T10/7072;;Y02T10/7072;;Y02T10/72;;Y02T10/72;;Y02T90/12;;Y02T90/12;;Y02T90/14;;Y02T90/14;;Y02T90/16;;Y02T90/16,B64C39/02;;B60L11/18;;G01C21/20;;G01R1/067;;G01R31/02;;G01R31/08;;G01R33/032;;G05D1/02;;G05D1/08;;G05D1/10;;H02J7/02,
US9835693B2,US,05/12/2017,2017,21/01/2016,LOCKHEED CORP,COAR DAVID N;;CAMMERATA JEFF D,,LOCKHEED MARTIN CORPORATION (2016-05-05),Granted Patent,G01R33/032;;G01R33/032;;G01H1/00;;G01H9/00,G01R33/02;;G01R33/032,
US9614589B1,US,04/04/2017,2017,21/01/2016,LOCKHEED CORP,RUSSO JON C;;BRUCE GREGORY S;;COAR DAVID N;;LEW WILBUR;;MILLER JULIE L,,LOCKHEED MARTIN CORPORATION (2016-09-28),Granted Patent,G01R33/032;;H04B5/0031;;H04B5/0075;;H04B5/0081;;G01R33/032;;H04B5/0031;;H04B5/0075;;H04B5/0081,H04B5/00,
