PatentNo,Jurisdiction,PublicationDate,PublicationYear,ApplicationDate,Applicants,Inventors,Owners_updated,Owners,DocumentType
US4081031A,US,28/03/1978,1978,13/09/1976,KINE TECH CORP,MOHAUPT HENRY H,,,Granted Patent
US8761912B1,US,24/06/2014,2014,28/08/2013,ASHFORD TECHNICAL SOFTWARE INC,CHAPMAN JR FRANK MARION;;BROWN RONALD LYLE,,ASHFORD TECHNICAL SOFTWARE INC (2013-08-07),Granted Patent
US2009-0255900A1,US,15/10/2009,2009,28/05/2009,SHENZHEN AUTO ELECTRIC EQUIPME,QIN REN YAN,,SHENZHEN AUTO ELECTRIC EQUIPMENT CO. LTD (2004-09-27),Patent Application
US5530709A,US,25/06/1996,1996,06/09/1994,SDL INC,WAARTS ROBERT G;;WELCH DAVID F;;SANDERS STEVEN;;SCIFRES DONALD R,,SDL INC (1994-09-27),Granted Patent
US2015-0183092A1,US,02/07/2015,2015,10/12/2014,SMITH INTERNATIONAL,BAO YAHUA;;EYRE RONALD K,,SMITH INTERNATIONAL INC (2015-01-14),Patent Application
US4192181A,US,11/03/1980,1980,13/11/1978,WESTBAY INSTR LTD,MCFARLANE JAMES D;;PATTON FRANKLIN D,,,Granted Patent
US2015-0071794A1,US,12/03/2015,2015,09/09/2014,PINE TREE GAS LLC,ZUPANICK JOSEPH A,,,Patent Application
US2016-0227754A1,US,11/08/2016,2016,21/04/2016,TECHNOLOGIES HOLDINGS CORP,O'BRIEN TIMOTHY S;;CAMENGA ERIC P,,TECHNOLOGIES HOLDINGS CORP (2011-01-24);;THERMA-STOR LLC (2017-11-30),Patent Application
US9611636B2,US,04/04/2017,2017,10/01/2014,SUPER PRODUCTS LLC,HETCHER JASON DAVID;;KOZICZKOWSKI DANIEL J;;LADISH CURTIS J;;JACOBSON MICHAEL JAMES;;IDING STEVEN,,SUPER PRODUCTS LLC (2015-04-23),Granted Patent
US2012-0253705A1,US,04/10/2012,2012,05/11/2010,CHEN JIGE;;WANG ZHENGANG;;YU HAI;;YE JUNJIE;;LANZHOU HAIMO TECHNOLOGIES CO LTD,CHEN JIGE;;WANG ZHENGANG;;YU HAI;;YE JUNJIE,,LANZHOU HAIMO TECHNOLOGIES CO. LTD (2012-05-29),Patent Application
US2005-0018176A1,US,27/01/2005,2005,25/07/2003,BAKER HUGHES INC,SMITH JAMES KEVYN;;LOPEZ THOMAS H;;MEANS C MITCH,,BAKER HUGHES INCORPORATED (2003-07-24),Patent Application
US2002-0188470A1,US,12/12/2002,2002,23/04/2002,HOGAN THOMAS,HOGAN THOMAS,,VERILOGIK INC (2002-12-16),Patent Application
US4657004A,US,14/04/1987,1987,29/08/1986,COFFEY ROBERT T,COFFEY ROBERT T,,,Granted Patent
US2013-0110417A1,US,02/05/2013,2013,28/10/2011,BALOGH JOHN A;;THOMAS DAVID L,BALOGH JOHN A;;THOMAS DAVID L,,ADALET/SCOTT FETZER COMPANY (2011-10-28),Patent Application
US3916673A,US,04/11/1975,1975,19/05/1972,HALLIBURTON CO,GASS EDWARD W;;GUEST ROBERT J,,,Granted Patent
US2014-0326137A1,US,06/11/2014,2014,01/05/2013,JORDAN TECHNOLOGIES LLC,JORDAN MARK A;;DAUB ALEXANDER K;;BOROFF ARTHUR L,,JORDAN TECHNOLOGIES LLC (2013-04-30),Patent Application
US2017-0051603A1,US,23/02/2017,2017,18/08/2015,G&H DIVERSIFIED MFG LP,LEE TIMMOTHY ALAIN;;WELLS JOE NOEL,,G&H DIVERSIFIED MANUFACTURING LP (2015-08-17),Patent Application
US6212948B1,US,10/04/2001,2001,28/06/1999,EKDAHL DONALD W.;;NELSON DONALD C.,EKDAHL DONALD W;;NELSON DONALD C,,PROGAUGE TECHNOLOGIES INC (2007-12-13),Granted Patent
US5526684A,US,18/06/1996,1996,10/01/1994,CHEVRON RES & TECH,LIU K T;;RIEKEN WILLIAM;;ANDUIZA J P;;KOUBA G E,,CHEVRON RESEARCH AND TECHNOLOGY COMPANY (1994-03-07),Granted Patent
US6846455B1,US,25/01/2005,2005,02/03/2001,TA INSTR WATERS LLC,CARNEY CHRISTOPHER F;;FERGUSON FRED L;;READER JOHN R;;LIU WEIDONG;;CROSBY JAY A,,TA INSTRUMENTS-WATERS LLC (2001-07-02),Granted Patent
US2013-0314094A1,US,28/11/2013,2013,21/02/2013,L LIVERMORE NAT SECURITY LLC,FARMER JOSEPH C;;BANDHAUER TODD M,,LAWRENCE LIVERMORE NATIONAL SECURITY LLC (2013-02-06),Patent Application
US4933887A,US,12/06/1990,1990,06/01/1989,BUDAPESTI MUESZAKI EGYETEM,DANKO GYOERGY;;CZIFKA ISTVAN,,,Granted Patent
US2006-0256837A1,US,16/11/2006,2006,09/05/2006,ALSTOM TECHNOLOGY LTD,CLIFTON ANDREW;;SCHNIEDER MARTIN;;ZAMBETTI CHIARA,,GENERAL ELECTRIC TECHNOLOGY GMBH (2015-11-02);;ANSALDO ENERGIA SWITZERLAND AG (2017-01-09),Patent Application
US2007-0147465A1,US,28/06/2007,2007,25/07/2006,FOXCONN TECH CO LTD,LIU TAY-JIAN;;TUNG CHAO-NIEN;;SUN CHIH-HSIEN;;HOU CHUEN-SHU;;LEE CHENG-CHI,,FOXCONN TECHNOLOGY CO. LTD (2006-07-10),Patent Application
US5415037A,US,16/05/1995,1995,04/12/1992,CHEVRON RES & TECH,GRISTON SUZANNE;;CROWE JOHN;;REIK BARRY A,,CHEVRON RESEARCH AND TECHNOLOGY COMPANY (1993-03-01),Granted Patent
US3851703A,US,03/12/1974,1974,10/09/1973,SHIRLEY B,SHIRLEY B,,,Granted Patent
US2012-0138148A1,US,07/06/2012,2012,26/11/2007,HARUTYUNYAN AVETIK R;;HONDA MOTOR CO LTD,HARUTYUNYAN AVETIK R,,HONDA MOTOR CO. LTD (2008-04-10),Patent Application
US7064677B2,US,20/06/2006,2006,19/05/2003,KEY ENERGY SERVICES INC,NEWMAN FREDERIC M,,KEY ENERGY SERVICES INC (2003-04-08);;KEY ENERGY SERVICES LLC (2010-06-01),Granted Patent
US2003-0127400A1,US,10/07/2003,2003,21/01/2003,KRESNYAK STEVE;;BRAUN ALEX,KRESNYAK STEVE;;BRAUN ALEX,,FOUNTAIN QUAIL HOLDINGS LLC (2015-11-19);;FOUNTAIN QUAIL WATER MANAGEMENT LLC (2016-07-20);;ENCANA CORPORATION (2002-12-13);;CENOVUS ENERGY INC (2014-03-14),Patent Application
US2010-0315899A1,US,16/12/2010,2010,16/06/2010,BAKER HUGHES INC,SWETT DWIGHT W,,BAKER HUGHES INCORPORATED (2010-06-15),Patent Application
US5047992A,US,10/09/1991,1991,29/06/1990,TEXACO INC,HOWLETT DONALD L,,TEXACO INC. A CORP OF DE (1990-06-04),Granted Patent
US2010-0151552A1,US,17/06/2010,2010,07/12/2009,SIMMONS ROBERT E,SIMMONS ROBERT E,,,Patent Application
US2016-0339452A1,US,24/11/2016,2016,23/03/2016,ECONOVA INC,MILLER C MICHAEL;;BELL D ANDREW;;TAM NGAI KEUNG,,THOUGHT PRESERVE LLC (2017-08-11),Patent Application
US2007-0144268A1,US,28/06/2007,2007,11/12/2006,SCHLUMBERGER TECHNOLOGY CORP,ATKINSON IAN,,SCHLUMBERGER TECHNOLOGY CORPORATION (2006-12-14),Patent Application
US2016-0279652A1,US,29/09/2016,2016,25/03/2016,CLARKE CONSUMER PRODUCTS INC,STATES III ROBERT G;;PORDAL HARBINDER SINGH;;PARROTT DAVID ANDREW;;AKINS JEFFREY MICHAEL;;MAGRO A KEVIN;;LAZAR SCOTT A,,CLARKE CONSUMER PRODUCTS INC (2016-07-21),Patent Application
US2017-0030186A1,US,02/02/2017,2017,31/12/2013,HALLIBURTON ENERGY SERVICES INC,RODGERS JOHN P;;GLENN TIMOTHY S;;SERRA MARCO;;BURLESON JOHN,,HALLIBURTON ENERGY SERVICES INC (2014-02-07),Patent Application
US5263372A,US,23/11/1993,1993,25/06/1992,NSK LTD,MATSUZAKI HIROYUKI;;KAWAMATA TAKEO;;MAEDA TAKASHI,,NSK LTD. A CORP. OF JAPAN (1992-06-19),Granted Patent
US9708885B2,US,18/07/2017,2017,24/02/2015,INNERGEO LLC,LOVEDAY RONALD LEE;;MUELLER JR J PAUL,,INNERGEO LLC (2011-03-10),Granted Patent
US2015-0377522A1,US,31/12/2015,2015,25/07/2014,ZIEGENFUSS MARK R;;ZIEGENFUSS HOLDINGS LLC,ZIEGENFUSS MARK R,,LUXOR TECHNOLOGIES INC. (2017-05-27),Patent Application
US2012-0247185A1,US,04/10/2012,2012,31/03/2011,HERZ JOSHUA J;;BILLINGS DAVID;;QUALITROL CO LLC,HERZ JOSHUA J;;BILLINGS DAVID,,QUALITROL COMPANY LLC (2011-03-25),Patent Application
US2012-0247191A1,US,04/10/2012,2012,31/03/2011,HERZ JOSHUA J;;BILLINGS DAVID;;QUALITROL CO LLC,HERZ JOSHUA J;;BILLINGS DAVID,,QUALITROL COMPANY LLC (2011-03-21),Patent Application
US2007-0276119A1,US,29/11/2007,2007,24/05/2006,DEBRUIN BRUCE ROGER;;BONNER RICHARD GILL,DEBRUIN BRUCE ROGER;;BONNER RICHARD GILL,,EASTMAN CHEMICAL COMPANY (2006-07-17);;ALPEK POLYESTER S.A. DE C.V (2011-01-31),Patent Application
US2018-0058192A1,US,01/03/2018,2018,29/08/2017,INST GEOLOGY & GEOPHYSICS CAS,ZHANG WENXIU;;DI QINGYUN;;CHEN WENXUAN;;YANG YONGYOU;;SUN YUNTAO;;ZHENG JIAN;;LIU JIANGUANG,,INSTITUTE OF GEOLOGY AND GEOPHYSICS CHINESE ACADEMY OF SCIENCES (2017-08-29),Patent Application
US2018-0223646A1,US,09/08/2018,2018,12/11/2016,INST GEOLOGY & GEOPHYSICS CAS,ZHANG WENXIU;;CHEN WENXUAN;;DI QINGYUN;;LIU JIANGUANG;;SUN YUNTAO;;YANG YONGYOU;;ZHENG JIAN,,INSTITUTE OF GEOLOGY AND GEOPHYSICS CHINESE ACADEMY OF SCIENCES (2017-08-16),Patent Application
US2005-0056415A1,US,17/03/2005,2005,16/09/2003,CANADA TECH CORP,ZILLINGER FRED,,OMEGA WELL MONITORING LIMITED (2011-07-14);;CANADA TECH CORP (2004-01-14),Patent Application
US2013-0030706A1,US,31/01/2013,2013,25/07/2011,BAKER HUGHES INC;;SPENCER REED W,SPENCER REED W,,BAKER HUGHES INCORPORATED (2011-08-01),Patent Application
US2008-0074661A1,US,27/03/2008,2008,21/09/2006,ZHANG JINGWU;;NGOLA SARAH;;SU XING,ZHANG JINGWU;;NGOLA SARAH;;SU XING,,INTEL CORPORATION (2006-06-26),Patent Application
US2002-0167414A1,US,14/11/2002,2002,06/11/2001,KELLY JOHN MICHAEL,KELLY JOHN MICHAEL,,,Patent Application
US5322319A,US,21/06/1994,1994,23/10/1992,MITSUBISHI MOTORS CORP,TANAKA TADAO;;MORITA TAKAO;;TOGASHI AKIHIKO;;KISHIMOTO NAOHIRO;;YOSHIDA HIROAKI,,MITSUBISHI JIDOSHA KOGYO KABUSHIKI KAISHA (1994-01-12),Granted Patent
US5006845A,US,09/04/1991,1991,13/06/1989,HONEYWELL INC;;SHELL OFFSHORE INC,CALCAR HENRY V;;MARSH GARY L,,HUGHES AIRCRAFT COMPANY (1997-11-26);;HE HOLDINGS INC. A DELAWARE CORP (1997-12-17);;HONEYWELL INC. HONEYWELL PLAZA MINNEAPOLIS MN 55408 A CORP. OF DE (1989-05-24);;ALLIANT TECHSYSTEMS INC (1991-11-27);;RAYTHEON COMPANY (1997-12-17),Granted Patent
US2007-0151762A1,US,05/07/2007,2007,04/01/2007,ATBALANCE AMERICAS LLC,REITSMA DONALD G,,ATBALANCE AMERICAS LLC (2006-12-29);;SMITH INTERNATIONAL INC (2012-02-06),Patent Application
US2018-0328159A1,US,15/11/2018,2018,12/05/2017,NABORS DRILLING TECH USA INC,MANDAVA CHAKRAPANI;;ARMSTRONG ANDREW;;LOCKRIDGE MICHAEL,,NABORS DRILLING TECHNOLOGIES USA INC (2017-05-11),Patent Application
US2005-0096848A1,US,05/05/2005,2005,29/10/2004,HOU XUTIAN;;YANG CHUNGUO;;GAO BINGTANG;;ZENG YIJIN;;GUO CAIXUAN;;ZHANG JIANLONG,HOU XUTIAN;;YANG CHUNGUO;;GAO BINGTANG;;ZENG YIJIN;;GUO CAIXUAN;;ZHANG JIANLONG,,EXPLORATION & PRODUCTION RESEARCH INSTITUTE SINOPEC (2004-12-06);;CHINA PETROLEUM & CHEMICAL CORPORATION (2004-12-06),Patent Application
US2008-0047337A1,US,28/02/2008,2008,20/08/2007,BAKER HUGHES INC,CHEMALI ROLAND E;;KRUEGER VOLKER;;DIFOGGIO ROCCO,,BAKER HUGHES INCORPORATED (2007-08-22),Patent Application
US8459004B2,US,11/06/2013,2013,26/10/2010,CHANG CHIN-CHUAN;;LIANG FEI INDUSTRY CO LTD,CHANG CHIN-CHUAN,,LIANG FEI INDUSTRY CO. LTD (2010-10-04),Granted Patent
US2014-0291883A1,US,02/10/2014,2014,06/06/2013,ACELON CHEMICALS AND FIBER CORP,CHOU WEN-TUNG;;LAI MING-YI;;HUANG KUN-SHAN,,ACELON CHEMICAL AND FIBER CORPORATION (2013-05-07);;LIN CHIH-HSIN (2020-09-22),Patent Application
US6076049A,US,13/06/2000,2000,26/02/1998,PREMIER INSTR INC,LIEVOIS JOHN S;;LANSANGAN ROBERTO M;;SUDBERRY MARK E,,PREMIER INSTRUMENTS INC (1998-02-23);;WEATHERFORD ARTIFICIAL LIFT SYSTEMS INC (2003-06-10),Granted Patent
US2007-0295101A1,US,27/12/2007,2007,11/05/2006,JOHANSEN ESPEN S,JOHANSEN ESPEN S,,WEATHERFORD TECHNOLOGY HOLDINGS LLC (2014-09-01);;WEATHERFORD/LAMB INC (2006-04-20),Patent Application
US2017-0067335A1,US,09/03/2017,2017,18/02/2015,SCHLUMBERGER TECHNOLOGY CORP,WENG XIAOWEI;;RAMONDENC PIERRE,,SCHLUMBERGER TECHNOLOGY CORPORATION (2016-11-10),Patent Application
US2013-0074493A1,US,28/03/2013,2013,27/09/2011,SHIEH TENGHUA TOM;;TOYOTA ENG & MFG NORTH AMERICA,SHIEH TENGHUA TOM,,TOYOTA JIDOSHA KABUSHIKI KAISHA (2014-09-10);;TOYOTA MOTOR ENGINEERING & MANUFACTURING NORTH AMERICA INC (2011-09-21),Patent Application
US2017-0061305A1,US,02/03/2017,2017,06/06/2016,UNIV JIANGNAN,XIONG WEILI;;LI YANJUN;;XUE MINGCHEN,,JIANGNAN UNIVERSITY (2016-07-14),Patent Application
US6213261B1,US,10/04/2001,2001,14/01/1998,MANNESMANN SACHS AG,KUNKEL ERNST-ACHIM,,MANNESMANN SACHS AG (1999-01-29),Granted Patent
US2016-0187031A1,US,30/06/2016,2016,07/10/2015,MCBAY DAVID ALAN,MCBAY DAVID ALAN,,,Patent Application
US5165883A,US,24/11/1992,1992,16/07/1991,TOYOTOMI KOGYO CO LTD;;ZIBROWIUS GMBH,VAN BEMMEL JAN C,,TOYOTOMI CO. LTD (1991-06-11),Granted Patent
US2015-0000630A1,US,01/01/2015,2015,26/06/2013,CATERPILLAR INC,COLDREN DANA RAY,,CATERPILLAR INC (2013-06-26),Patent Application
US2017-0356357A1,US,14/12/2017,2017,05/08/2014,ARDEBILI POOR JAHANGIR AHMADI,ARDEBILI POOR JAHANGIR AHMADI,,,Patent Application
US2014-0027626A1,US,30/01/2014,2014,24/07/2012,CSUTAK SEBASTIAN;;BAKER HUGHES INC,CSUTAK SEBASTIAN,,BAKER HUGHES INCORPORATED (2012-08-01),Patent Application
US2013-0236332A1,US,12/09/2013,2013,07/03/2012,FREY JEFFREY G;;GIBSON ADAM L;;LINGENFELTER DONALD R;;GLASSCOCK TERRY L,FREY JEFFREY G;;GIBSON ADAM L;;LINGENFELTER DONALD R;;GLASSCOCK TERRY L,,BAKER HUGHES INCORPORATED (2012-03-07),Patent Application
US2015-0167453A1,US,18/06/2015,2015,12/12/2013,FORSTNER INGO;;HERBIG CHRISTIAN;;LINKE CHRISTIAN;;HOHL ANDREAS;;BAKER HUGHES INC,FORSTNER INGO;;HERBIG CHRISTIAN;;LINKE CHRISTIAN;;HOHL ANDREAS,,BAKER HUGHES INCORPORATED (2013-12-13),Patent Application
US2014-0096617A1,US,10/04/2014,2014,10/10/2012,CUMMINGS BRENT;;JONES DALLAS,CUMMINGS BRENT;;JONES DALLAS,,FLUID LEARNING UNIQUELY EXECUTED LLC (2013-07-29),Patent Application
US2018-0313199A1,US,01/11/2018,2018,23/04/2018,NEWWELL TECH LLC,HUANG ZHIJIE;;TIAN JIAHER,,,Patent Application
US2016-0363691A1,US,15/12/2016,2016,30/12/2015,PETROCHINA CO LTD,HU SUYUN;;SHI SHUYUAN;;JIANG HUA;;WANG TONGSHAN;;JIANG QINGCHUN,,PETROCHINA COMPANY LIMITED (2015-12-29),Patent Application
US2014-0111348A1,US,24/04/2014,2014,19/10/2012,HALLIBURTON ENERGY SERV INC,SKINNER NEAL G;;SAMSON ETIENNE M;;SHARP DAVID PAUL;;MAIDA JOHN L,,HALLIBURTON ENERGY SERVICES INC (2012-10-15),Patent Application
US2015-0136963A1,US,21/05/2015,2015,13/11/2014,SCHLUMBERGER TECHNOLOGY CORP,XIE CHENG-GANG,,,Patent Application
US2014-0123778A1,US,08/05/2014,2014,30/09/2013,LI CHONG;;STOLLE JOSEPH W;;LIVINGSTON ROY W;;OETTLE BRYAN M,LI CHONG;;STOLLE JOSEPH W;;LIVINGSTON ROY W;;OETTLE BRYAN M,,,Patent Application
US6905533B2,US,14/06/2005,2005,10/04/2003,SILTRONIC AG,BECKER FRANZ;;LEHMANN LOTHAR;;WACHTLER HORST,,SILTRONIC AG (2004-01-22);;WACKER SILTRONIC AG (2003-03-17),Granted Patent
US2019-0184320A1,US,20/06/2019,2019,14/12/2017,FECC INC,KIRKLAND GORDON;;KIRKLAND ELGIN;;LAMORI PHIL;;CLIFT DON;;SAN AGUSTIN VICTOR,,FECC INC (2018-01-09);;GEO-SOLUTIONS INC (2019-10-24),Patent Application
US2004-0232606A1,US,25/11/2004,2004,06/07/2004,TECHNOLOGY INVESTMENTS LTD,TIMONEY SEAN;;ANDERSON COLIN JAMES,,,Patent Application
US6063001A,US,16/05/2000,2000,16/04/1998,FRANZ MORAT KG GMBH & CO,SUEHLING RICHARD G;;WEFERS HANS K,,FRANZ MORAT KG (GMBH & CO) (1998-05-12),Granted Patent
US4074692A,US,21/02/1978,1978,15/10/1971,SHAFER HOMER J,SHAFER HOMER J,,SHAFER VALVE COMPANY THE A CORP. OF OH (1992-04-29);;HOMER J. SHAFER AS GRANTOR AND VIRGINIA E. SHAFER JON L. SHAFER AND HARRY C. KOHLER TRUSTEES 2500 PARK AVENUE WEST MANSFIELD OHIO 44906 (1984-12-14);;VIRGINIA E. SHAFER JON L. SHAFER AND HARRY C. KOHLER AS TRUSTEES OF THE HOMER J. SHAFER TRUST ESTABLISHED UNDER TRUST AGREEMENT DATED JUNE 8 1981 (1984-12-14),Granted Patent
US4120478A,US,17/10/1978,1978,06/12/1976,JAPAN STEEL WORKS LTD,HASEGAWA AKIRA,,,Granted Patent
US4005642A,US,01/02/1977,1977,06/08/1975,SHAFER VALVE CO,HANAWALT LARRY D,,,Granted Patent
US2017-0051694A1,US,23/02/2017,2017,21/06/2016,TOYOTA MOTOR CO LTD,TANAKA TAKAYOSHI,,TOYOTA JIDOSHA KABUSHIKI KAISHA (2016-04-12),Patent Application
US2007-0221674A1,US,27/09/2007,2007,11/08/2006,MORI HIROYOSHI;;KODAKA YOSHIKI,MORI HIROYOSHI;;KODAKA YOSHIKI,,SUMITOMO RIKO COMPANY LIMITED (2006-08-02),Patent Application
US2005-0092309A1,US,05/05/2005,2005,03/11/2003,BEDKOWSKI MACIEJ;;GOULD DEFOREST,BEDKOWSKI MACIEJ;;GOULD DEFOREST,,PERKINS ENGINES COMPANY LIMITED (2003-10-14),Patent Application
US2018-0172536A1,US,21/06/2018,2018,15/06/2016,MULTICORE PHOTONICS INC,ADAMS CHRISTIAN;;ENGLE DARREN T;;RYAN ROBERT S;;WILSON JODY W,,MULTICORE PHOTONICS INC (2016-08-01),Patent Application
US2015-0240633A1,US,27/08/2015,2015,06/02/2015,SCHLUMBERGER TECHNOLOGY CORP,AKKURT RIDVAN;;PRIOUL ROMAIN CHARLES ANDRE;;POMERANTZ ANDREW E,,,Patent Application
US5663929A,US,02/09/1997,1997,24/05/1995,INST FRANCAIS DU PETROLE,PAVONE DIDIER;;FROMENT JACQUES;;THESEE EDDY,,INSTITUT FRANCAIS DU PETROLE (1995-07-27),Granted Patent
US4005289A,US,25/01/1977,1977,05/01/1976,US ENERGY,DEL GRANDE NANCY KERR,,,Granted Patent
US2015-0369012A1,US,24/12/2015,2015,24/06/2014,SAUDI ARABIAN OIL CO,AL-RABEH MAJED N;;AL-MALKI BANDAR H,,SAUDI ARABIAN OIL COMPANY (2014-06-30),Patent Application
US2017-0182869A1,US,29/06/2017,2017,28/12/2016,THERMO KING CORP,KUJAK STEPHEN A;;SCHULTZ KENNETH J;;BERGE JEFFREY B;;SRICHAI PANAYU ROBERT;;SULC VLADIMIR;;KOLDA MICHAL;;SAULS JOHN R,,THERMO KING CORPORATION (2017-01-02),Patent Application
US2013-0043678A1,US,21/02/2013,2013,20/07/2012,UNIV MINNESOTA;;SAAR MARTIN O;;RANDOLPH JIMMY BRYAN;;KUEHN THOMAS H;;CARPENTER KENNETH,SAAR MARTIN O;;RANDOLPH JIMMY BRYAN;;KUEHN THOMAS H;;CARPENTER KENNETH,,REGENTS OF THE UNIVERSITY OF MINNESOTA (2012-08-29);;HEAT MINING COMPANY LLC (2012-08-16),Patent Application
US2013-0197810A1,US,01/08/2013,2013,28/01/2013,HAAS ALLAN KAYSER;;REVIL ANDRE,HAAS ALLAN KAYSER;;REVIL ANDRE,,,Patent Application
US4064293A,US,20/12/1977,1977,01/04/1977,NICKLAS MANFRED E,NICKLAS MANFRED E,,,Granted Patent
US2015-0068615A1,US,12/03/2015,2015,08/09/2014,KOREA INST GEOSCIENCE & MINERA,PARK JONGMYUNG;;HUH DAE GEE,,KOREA INSTITUTE OF GEOSCIENCE AND MINERAL RESOURCES (2014-09-04),Patent Application
US7261002B1,US,28/08/2007,2007,09/05/2005,CIDRA CORP,GYSLING DANIEL L;;BRYANT REBECCA M;;WINSTON CHARLES R,,EXPRO METERS INC (2008-06-23);;CIDRA CORPORATION (2006-03-12),Granted Patent
US4145923A,US,27/03/1979,1979,27/06/1977,MCCLURE CHARLES A,MCCLURE CHARLES A,,,Granted Patent
US4884457A,US,05/12/1989,1989,23/03/1989,TEXACO INC,HATTON GREGORY J,,,Granted Patent
US4184331A,US,22/01/1980,1980,27/02/1978,WILLETT THOMAS & CO LTD,BENTLEY PETER N,,,Granted Patent
US5810130A,US,22/09/1998,1998,14/03/1997,GEN MOTORS CORP,MC CANDLESS JOHN GREGG,,GENERAL MOTORS CORPORATION (1997-03-05),Granted Patent
US2017-0008085A1,US,12/01/2017,2017,19/06/2014,HALLIBURTON ENERGY SERVICES INC,NGUYEN PHILIP D;;GARDINER NICHOLAS H,,HALLIBURTON ENERGY SERVICES INC (2014-06-10),Patent Application
US7617745B1,US,17/11/2009,2009,30/11/2008,A & MFG LLC,MAYEAUX DONALD P,,A+ MANUFACTURING LLC (2009-04-07);;MAYEAUX HOLDING LLC (2017-07-11),Granted Patent
US3980542A,US,14/09/1976,1976,14/07/1975,PETROLITE CORP,WINSLOW JR JOSEPH D;;MAYSE WELDON D,,,Granted Patent
US3828744A,US,13/08/1974,1974,19/04/1973,HOLLINS J R,HOLLINS J,,,Granted Patent
US2009-0266346A1,US,29/10/2009,2009,29/04/2008,CUMMINS FILTRATION IP INC,WAGNER BRIAN;;ZOCH ROGER;;VERDEGAN BARRY;;MARTIN HAROLD R;;MORGAN JEFF;;FALLON STEPHEN L,,CUMMINS FILTRATION IP INC (2008-04-25),Patent Application
US3923480A,US,02/12/1975,1975,18/04/1973,HOLIMA BV JAMES H,VISCH TONNY DIRK HENRICUS,,,Granted Patent
US5329913A,US,19/07/1994,1994,26/03/1992,YAMAHA MOTOR CO LTD,SUZUKI SHIGETO;;OGURI MAKOTO;;FUKUDOME TOSHINORI,,YAMAHA HATSUDOKI KABUSHIKI KAISHA DBA YAMAHA MOTOR CO. LTD (1992-03-26),Granted Patent
US2009-0199794A1,US,13/08/2009,2009,26/09/2008,CATERPILLAR INC,SLAUGHTER SETH EVAN;;WEBER JAMES RICHARD;;DURAND JAMES CARL;;NORTON RICHARD FRANCIS;;MCELROY MARK ANDREW;;ALLOTT MARK TAYLOR;;STABNIK JOSEPH JOHN;;DESAI NILKANTH DINESH;;STUDNICKA SETH CARL,,CATERPILLAR INC (2008-09-12),Patent Application
US2016-0186694A1,US,30/06/2016,2016,22/12/2015,AISAN IND,WAKAMATSU KEISUKE;;ONODA RUI;;MAKINO KATSUHIKO,,AISAN KOGYO KABUSHIKI KAISHA (2015-12-07),Patent Application
US6286602B1,US,11/09/2001,2001,17/09/1999,ELF EXPLORATION PROD,LEMETAYER PIERRE;;POUBLAN JACQUES,,ELF EXPLORATION PRODUCTION (1999-11-09),Granted Patent
US2007-0240494A1,US,18/10/2007,2007,13/04/2006,TIBERI TEDMUND P,TIBERI TEDMUND P,,,Patent Application
US2003-0037598A1,US,27/02/2003,2003,29/08/2002,BRUNET JEAN-CLAUDE;;DURET MAX;;JACQUEMOD ANDRE,BRUNET JEAN-CLAUDE;;DURET MAX;;JACQUEMOD ANDRE,,ORGANISATION EUROPEENNE POUR LA RECHERCHE NUCLEAIRE (2002-05-06),Patent Application
US2002-0038705A1,US,04/04/2002,2002,24/04/2001,WELLINGTON SCOTT LEE;;VINEGAR HAROLD J.;;ROUFFIGNAC ERIC PIERRE DE;;BERCHENKO ILYA EMIL;;STEGEMEIER GEORGE LEO;;ZHANG ETUAN;;SHAHIN GORDON THOMAS;;FOWLER THOMAS DAVID;;RYAN ROBERT CHARLES,WELLINGTON SCOTT LEE;;VINEGAR HAROLD J;;ROUFFIGNAC ERIC PIERRE DE;;BERCHENKO ILYA EMIL;;STEGEMEIER GEORGE LEO;;ZHANG ETUAN;;SHAHIN GORDON THOMAS;;FOWLER THOMAS DAVID;;RYAN ROBERT CHARLES,,SALAMANDER SOLUTIONS INC (2018-06-14);;SHELL OIL COMPANY (2001-09-07),Patent Application
US2015-0275661A1,US,01/10/2015,2015,24/12/2014,OPENFIELD SA;;OPENFIELD,DONZIER ERIC;;TAVERNIER EMMANUEL;;ABBASSI LINDA,,OPENFIELD SA (2014-12-08),Patent Application
US2017-0370754A1,US,28/12/2017,2017,22/06/2017,HOMEBEAVER INC,CROTEAU STEVE,,HOMEBEAVER INC (2017-07-25),Patent Application
US2001-0020647A1,US,13/09/2001,2001,09/02/2001,HANSEN HENNING MAX,HANSEN HENNING MAX,,SIEMENS AKTIENGESELLSCHAFT (2010-08-16);;DANFOSS A/S (2001-01-26);;SIEMENS FLOW INSTRUMENTS A/S (2003-09-12),Patent Application
US2019-0226368A1,US,25/07/2019,2019,08/08/2017,CPT GROUP GMBH,HOFMANN ANDREAS;;HOLZEDER ANDREAS,,VITESCO TECHNOLOGIES GMBH (2019-01-18),Patent Application
US2015-0252653A1,US,10/09/2015,2015,04/03/2014,GEOTHERMAL TECHNOLOGIES INC,SHELTON JR TOMMIE E,,,Patent Application
US4602067A,US,22/07/1986,1986,28/03/1985,PFIZER,STONG RANDEL E;;WALINSKY STANLEY W,,PFIZER INC (1985-03-18),Granted Patent
